Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"657","CLAUDIA","PERRAULT","Peasant","Uncommon","Dwarf","23","Female","PERRAULT [186]","MATTHIAS PERRAULT","Distinctive nose","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Expert cook","Frequently uses the wrong word","Curious","Beauty or Domination","Logic or Independence","Knowledge or Discovery","Protective of close family members","Envies another creature’s possessions or station","63","CLAUDIA'S FARM",""
"658","VASILII","STAROSTA","Peasant","Uncommon","Half-Elf","30","Male","STAROSTA [175]","ELIZAVETA STAROSTA","Nervous eye twitch","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Sings beautifully","Prone to singing, whistling, or humming quietly","Hot tempered","Respect or Retribution","Responsibility or No limits","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Prone to rage","33","ELIZAVETA'S FARM",""
"659","MATTHIAS","PERRAULT","Peasant","Common","Human","21","Male","PERRAULT [186]","CLAUDIA PERRAULT","Birthmark","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Great at one game","Slurs words, lisps, or stutters","Friendly","Beauty or Domination","Community or Change","Neutrality or Redemption","Protective of close family members","Possession of forbidden lore","21","CLAUDIA'S FARM",""
"660","DEMYAN","SVENDSEN","Peasant","Common","Human","16","Male","SVENDSEN [441]","","Birthmark","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Expert juggler","Whispers","Honest","Greater good or Might","Responsibility or No limits","People or Self-knowledge","Captivated by a romantic interest","Has a powerful enemy","16","","BORISU'S FARM"
"661","JOZEFA","MURRAY","Peasant","Common","Human","28","Female","MURRAY [182]","ARCHER MURRAY","Distinctive posture (crooked or rigid)","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Expert juggler","Bites fingernails","Curious","Life or Pain","Community or Change","Balance or Aspiration","Protective of a valuable possession","Specific phobia","28","ARCHER'S FARM",""
"662","LUCA","GIRARD","Peasant","Common","Human","19","Female","GIRARD [185]","GUSTAF GIRARD","Flamboyant or outlandish clothes","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Expert dart thrower and rock skipper","Prone to predictions of doom","Irritable","Greater good or Might","Tradition or Whimsy","People or Self-knowledge","Out for revenge","Arrogance","19","GUSTAF'S FARM",""
"663","CLOTHILDE","ARCHAMBAULT","Peasant","Common","Human","24","Female","ARCHAMBAULT [187]","CAINNEACH ARCHAMBAULT","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Great at solving puzzles","Frequently uses the wrong word","Suspicious","Life or Pain","Honor or Freedom","Knowledge or Discovery","Captivated by a romantic interest","Shameful or scandalous history","24","CLOTHILDE'S FARM",""
"664","KLEMENTYNA","SCHRADER","Peasant","Common","Human","9","Female","SCHRADER [442]","","","","","","","","","","","","","9","",""
"665","CAINNEACH","ARCHAMBAULT","Peasant","Common","Human","24","Male","ARCHAMBAULT [187]","CLOTHILDE ARCHAMBAULT","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Knows thieves’ cant","Speaks in rhyme or some other peculiar way","Irritable","Self-sacrifice or Slaughter","Logic or Independence","Knowledge or Discovery","Protective of a valuable possession","Forbidden love or susceptibility to romance","24","CLOTHILDE'S FARM",""
"666","ANIA","ARCHAMBAULT","Peasant","Common","Human","10","Female","ARCHAMBAULT [443]","","","","","","","","","","","","","10","",""
"667","CYRILLE","MANCUSO","Peasant","Common","Human","22","Male","MANCUSO [188]","MALINA MANCUSO","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Unbelievably lucky","Makes constant jokes or puns","Arrogant","Charity or Greed","Logic or Independence","Knowledge or Discovery","Captivated by a romantic interest","Has a powerful enemy","22","CYRILLE'S FARM",""
"668","ROUL","SAULT","Peasant","Common","Human","29","Male","SAULT [189]","ARLIE SAULT","Bald","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Sings beautifully","Speaks in rhyme or some other peculiar way","Quiet","Self-sacrifice or Slaughter","Fairness or Creativity","Live and let live or Glory","Captivated by a romantic interest","Foolhardy bravery","29","ROUL'S FARM",""
"669","GRETE","PERRAULT","Peasant","Common","Human","3","Female","PERRAULT [186]","","","","","","","","","","","","","3","",""
"670","ANEIRIN","BELMONT","Peasant","Common","Human","12","Male","BELMONT [444]","","Pronounced scar","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Expert cook","Prone to singing, whistling, or humming quietly","Irritable","Respect or Retribution","Tradition or Whimsy","Neutrality or Redemption","Protective of close family members","Shameful or scandalous history","12","","BORISU'S FARM"
"671","ADDY","ORLOV","Peasant","Common","Human","3","Female","ORLOV [201]","","","","","","","","","","","","","3","",""
"672","OLWEN","MCINNES","Peasant","Common","Human","8","Female","MCINNES [445]","","","","","","","","","","","","","8","",""
"673","GORONWY","ANDREASSEN","Peasant","Common","Human","23","Male","ANDREASSEN [190]","GRETE ANDREASSEN","Pronounced scar","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Skilled dancer","Uses flowery speech or long words","Arrogant","Charity or Greed","Responsibility or No limits","Knowledge or Discovery","Protective of a sentimental keepsake","Envies another creature’s possessions or station","23","GORONWY'S FARM",""
"674","FINNIAN","HERSCHEL","Peasant","Common","Human","10","Male","HERSCHEL [446]","","","","","","","","","","","","","10","",""
"675","VYACHESLAV","MERX","Peasant","Common","Human","18","Male","MERX [191]","CATRINE MERX","Nervous eye twitch","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Sings beautifully","Speaks in rhyme or some other peculiar way","Argumentative","Charity or Greed","Fairness or Creativity","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Overpowering greed","18","VYACHESLAV'S FARM",""
"676","FRED","INNES","Peasant","Uncommon","Half-Elf","18","Male","INNES [192]","GUN INNES","Ragged, dirty clothes","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Perfect memory","Uses flowery speech or long words","Quiet","Charity or Greed","Community or Change","People or Self-knowledge","Protective of close family members","Overpowering greed","20","FRED'S FARM",""
"677","JEREMI","JENSEN","Peasant","Uncommon","Half-Elf","34","Male","JENSEN [193]","SOFIA JENSEN","Missing fingers","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Speaks several languages fluently","Prone to singing, whistling, or humming quietly","Argumentative","Charity or Greed","Logic or Independence","Neutrality or Redemption","Captivated by a romantic interest","Enjoys decadent pleasures","37","JEREMI'S FARM",""
"678","JON","LANDAU","Peasant","Common","Human","29","Male","LANDAU [194]","EIMHIR LANDAU","Formal, clean clothes","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Paints beautifully","Enunciates overly clearly","Blustering","Beauty or Domination","Community or Change","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Specific phobia","29","JON'S FARM",""
"679","ARIANNE","KRAMER","Peasant","Common","Human","17","Female","KRAMER [447]","","Ragged, dirty clothes","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Expert dart thrower and rock skipper","Paces","Honest","Charity or Greed","Community or Change","Live and let live or Glory","Protective of a valuable possession","Possession of forbidden lore","17","","AUDLEY'S FARM"
"680","MALINA","MANCUSO","Peasant","Common","Human","19","Female","MANCUSO [188]","CYRILLE MANCUSO","Unusual hair color","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Knows thieves’ cant","Particularly low or high voice","Arrogant","Respect or Retribution","Responsibility or No limits","Neutrality or Redemption","Protective of close family members","Envies another creature’s possessions or station","19","CYRILLE'S FARM",""
"681","RHYDDERCH","BUDNY","Peasant","Common","Human","2","Male","BUDNY [144]","","","","","","","","","","","","","2","",""
"682","MARIANNA","NESS","Peasant","Common","Human","9","Female","NESS [448]","","","","","","","","","","","","","9","",""
"683","THADDEUS","MUNROE","Peasant","Uncommon","Half-Elf","1","Male","MUNROE [135]","","","","","","","","","","","","","1","",""
"684","ZBIGNEV","PIERRE","Peasant","Common","Human","3","Male","PIERRE [211]","","","","","","","","","","","","","3","",""
"685","ANSGAR","MIKKELSEN","Peasant","Common","Human","1","Male","MIKKELSEN [145]","","","","","","","","","","","","","1","",""
"686","JASON","MURRAY","Peasant","Uncommon","Dwarf","31","Male","MURRAY [195]","AMBRA MURRAY","Bald","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Expert dart thrower and rock skipper","Speaks in rhyme or some other peculiar way","Rude","Greater good or Might","Logic or Independence","People or Self-knowledge","Protective of a sentimental keepsake","Enjoys decadent pleasures","86","JASON'S FARM",""
"687","DERYN","LORENZEN","Peasant","Uncommon","Dwarf","13","Female","LORENZEN [449]","","Birthmark","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Skilled dancer","Uses flowery speech or long words","Curious","Life or Pain","Community or Change","Knowledge or Discovery","Protective of a sentimental keepsake","Forbidden love or susceptibility to romance","36","","AUDLEY'S FARM"
"688","JARI","SCHNUR","Peasant","Uncommon","Dwarf","5","Male","SCHNUR [450]","","","","","","","","","","","","","13","",""
"689","KAROLIINA","GORECKI","Peasant","Common","Human","32","Female","GORECKI [180]","CRESCENZO GORECKI","Formal, clean clothes","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Skilled actor and master of disguise","Slurs words, lisps, or stutters","Honest","Life or Pain","Tradition or Whimsy","Live and let live or Glory","Protective of colleagues or compatriots","Has a powerful enemy","32","CRESCENZO'S FARM",""
"690","ARLIE","SAULT","Peasant","Common","Human","35","Female","SAULT [189]","ROUL SAULT","Unusual skin color","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Drinks everyone under the table","Stares into the distance","Blustering","Self-sacrifice or Slaughter","Honor or Freedom","Moderation or Nation","Protective of a valuable possession","Overpowering greed","35","ROUL'S FARM",""
"691","CATRINE","MERX","Peasant","Uncommon","Half-Elf","18","Female","MERX [191]","VYACHESLAV MERX","Missing teeth","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Skilled dancer","Slurs words, lisps, or stutters","Quiet","Greater good or Might","Honor or Freedom","Live and let live or Glory","Protective of close family members","Has a powerful enemy","20","VYACHESLAV'S FARM",""
"692","EIMHIR","LANDAU","Peasant","Common","Human","37","Female","LANDAU [194]","JON LANDAU","Missing teeth","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Great at one game","Squints","Irritable","Charity or Greed","Community or Change","Neutrality or Redemption","Out for revenge","Foolhardy bravery","37","JON'S FARM",""
"693","EWALD","MONET","Peasant","Uncommon","Half-Elf","21","Male","MONET [196]","ARLIE MONET","Exceptionally beautiful","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Expert juggler","Fidgets","Rude","Respect or Retribution","Tradition or Whimsy","Live and let live or Glory","Drawn to a special place","Enjoys decadent pleasures","23","EWALD'S FARM",""
"694","GRETE","ANDREASSEN","Peasant","Common","Human","27","Female","ANDREASSEN [190]","GORONWY ANDREASSEN","Piercings","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Great at solving puzzles","Prone to predictions of doom","Arrogant","Greater good or Might","Logic or Independence","Live and let live or Glory","Drawn to a special place","Foolhardy bravery","27","GORONWY'S FARM",""
"695","MICHEIL","KRANZ","Peasant","Uncommon","Half-Elf","21","Male","KRANZ [197]","BERTHA KRANZ","Piercings","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Speaks several languages fluently","Slurs words, lisps, or stutters","Rude","Life or Pain","Responsibility or No limits","People or Self-knowledge","Captivated by a romantic interest","Envies another creature’s possessions or station","23","MICHEIL'S FARM",""
"696","TIKHOMIR","DUNCAN","Peasant","Common","Human","23","Male","DUNCAN [198]","FRIEDA DUNCAN","Exceptionally beautiful","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Draws beautifully","Enunciates overly clearly","Honest","Charity or Greed","Logic or Independence","People or Self-knowledge","Loyal to a benefactor, patron, or employer and Protective of a sentimental keepsake","Prone to rage","23","TIKHOMIR'S FARM",""
"697","AMBER","GRIFFITHS","Peasant","Common","Human","36","Female","GRIFFITHS [199]","ALEXANDRE GRIFFITHS","Exceptionally ugly","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Skilled actor and master of disguise","Uses flowery speech or long words","Honest","Life or Pain","Honor or Freedom","Knowledge or Discovery","Dedicated to fulfilling a personal life goal","Secret crime or misdeed","36","AMBER'S FARM",""
"698","CLOTILDE","THORSEN","Peasant","Common","Human","6","Female","THORSEN [451]","","","","","","","","","","","","","6","",""
"699","LEENA","ANDERSEN","Peasant","Uncommon","Dwarf","14","Female","ANDERSEN [452]","","Formal, clean clothes","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Skilled dancer","Speaks in rhyme or some other peculiar way","Honest","Respect or Retribution","Logic or Independence","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","38","","GUSTAF'S FARM"
"700","HALSTEIN","LESTRANGE","Peasant","Common","Human","10","Male","LESTRANGE [453]","","","","","","","","","","","","","10","",""
"701","HENDRIK","HERBERT","Peasant","Common","Human","7","Male","HERBERT [454]","","","","","","","","","","","","","7","",""
"702","VITALY","GIBSON","Peasant","Common","Human","25","Male","GIBSON [200]","ADRIANA GIBSON","Nervous eye twitch","Constitution - hardy, hale, healthy","Charisma - dull, boring","Paints beautifully","Taps fingers","Argumentative","Charity or Greed","Fairness or Creativity","Balance or Aspiration","Protective of close family members","Prone to rage","25","VITALY'S FARM",""
